DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/09/27,09:00,Inbound Sales - Voice,7,00:00:01.507,100.00%,00:01:34,00:11:04,0
2024/09/27,10:00,Inbound Sales - Voice,12,00:00:17.943,72.73%,00:01:13,00:13:58,0
2024/09/27,11:00,Inbound Sales - Voice,26,00:00:32.097,80.00%,00:01:27,00:07:54,0
2024/09/27,12:00,Inbound Sales - Voice,21,00:00:13.809,85.71%,00:01:15,00:10:17,0
2024/09/27,13:00,Inbound Sales - Voice,17,00:00:18.046,87.50%,00:01:34,00:14:06,0
2024/09/27,14:00,Inbound Sales - Voice,16,00:00:05.599,93.75%,00:00:59,00:13:25,0
2024/09/27,15:00,Inbound Sales - Voice,18,00:00:07.573,88.89%,00:02:03,00:13:36,0
2024/09/27,16:00,Inbound Sales - Voice,11,00:00:04.314,100.00%,00:00:55,00:05:20,0
2024/09/27,17:00,Inbound Sales - Voice,18,00:00:08.433,94.44%,00:01:10,00:11:11,0
2024/09/27,18:00,Inbound Sales - Voice,14,00:00:01.420,100.00%,00:02:11,00:19:02,0
2024/09/27,19:00,Inbound Sales - Voice,7,00:00:01.481,100.00%,00:00:45,00:10:31,0
2024/09/27,20:00,Inbound Sales - Voice,13,00:00:01.408,100.00%,00:01:17,00:13:05,0
2024/09/27,21:00,Inbound Sales - Voice,5,00:00:01.267,100.00%,00:01:57,00:14:51,0
2024/09/27,22:00,Inbound Sales - Voice,5,00:00:01.467,100.00%,00:02:57,00:22:17,0
2024/09/27,23:00,Inbound Sales - Voice,1,00:00:02.827,100.00%,00:00:22,00:11:19,0
