DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/11/08,09:00,Inbound Sales - Voice,6,00:00:01.549,100.00%,00:02:45,00:22:54,0
2024/11/08,10:00,Inbound Sales - Voice,14,00:00:03.757,92.86%,00:01:41,00:16:25,0
2024/11/08,11:00,Inbound Sales - Voice,24,00:01:15.388,40.00%,00:01:00,00:15:26,0
2024/11/08,12:00,Inbound Sales - Voice,12,00:00:25.024,91.67%,00:01:05,00:10:45,1
2024/11/08,13:00,Inbound Sales - Voice,12,00:00:01.524,100.00%,00:01:27,00:10:29,0
2024/11/08,14:00,Inbound Sales - Voice,19,00:00:41.052,55.56%,00:01:32,00:14:30,0
2024/11/08,15:00,Inbound Sales - Voice,21,00:01:18.804,52.63%,00:01:13,00:11:51,1
2024/11/08,16:00,Inbound Sales - Voice,6,00:01:00.493,66.67%,00:02:04,00:16:57,0
2024/11/08,17:00,Inbound Sales - Voice,22,00:01:28.114,52.63%,00:01:35,00:15:33,4
2024/11/08,18:00,Inbound Sales - Voice,13,00:01:49.607,58.33%,00:01:11,00:15:12,0
2024/11/08,19:00,Inbound Sales - Voice,16,00:02:22.629,38.46%,00:01:51,00:16:14,0
2024/11/08,20:00,Inbound Sales - Voice,7,00:00:01.504,100.00%,00:01:32,00:12:28,0
2024/11/08,21:00,Inbound Sales - Voice,5,00:03:30.154,40.00%,00:01:29,00:14:31,0
2024/11/08,22:00,Inbound Sales - Voice,3,00:00:59.367,100.00%,00:01:09,00:09:07,0
2024/11/08,23:00,Inbound Sales - Voice,3,00:00:01.521,100.00%,00:02:02,00:13:23,0
