DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/08/21,09:00,Inbound Sales - Voice,6,00:00:01.562,100.00%,00:03:12,00:06:15,0
2024/08/21,10:00,Inbound Sales - Voice,7,00:00:01.486,100.00%,00:01:01,00:10:11,0
2024/08/21,11:00,Inbound Sales - Voice,25,00:00:41.646,66.67%,00:01:37,00:10:57,2
2024/08/21,12:00,Inbound Sales - Voice,15,00:00:10.390,93.33%,00:01:23,00:14:13,0
2024/08/21,13:00,Inbound Sales - Voice,25,00:00:01.570,100.00%,00:01:42,00:12:00,0
2024/08/21,14:00,Inbound Sales - Voice,21,00:00:01.700,100.00%,00:01:34,00:10:43,0
2024/08/21,15:00,Inbound Sales - Voice,24,00:00:18.420,75.00%,00:01:45,00:10:59,1
2024/08/21,16:00,Inbound Sales - Voice,23,00:00:01.514,100.00%,00:01:34,00:11:18,0
2024/08/21,17:00,Inbound Sales - Voice,19,00:00:01.577,100.00%,00:01:09,00:09:27,0
2024/08/21,18:00,Inbound Sales - Voice,10,00:00:01.670,100.00%,00:00:08,00:07:07,0
2024/08/21,19:00,Inbound Sales - Voice,16,00:00:07.583,93.33%,00:00:43,00:11:58,0
2024/08/21,20:00,Inbound Sales - Voice,19,00:00:05.878,94.74%,00:00:48,00:09:57,0
2024/08/21,21:00,Inbound Sales - Voice,7,00:01:00.565,83.33%,00:03:04,00:14:50,0
2024/08/21,22:00,Inbound Sales - Voice,3,00:00:01.469,100.00%,00:00:49,00:05:59,0
2024/08/21,23:00,Inbound Sales - Voice,6,00:00:01.496,100.00%,00:00:24,00:12:32,0
