DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/08/10,09:00,Inbound Sales - Voice,11,00:00:01.454,100.00%,00:01:11,00:12:02,0
2024/08/10,10:00,Inbound Sales - Voice,11,00:00:22.173,90.91%,00:01:23,00:11:07,0
2024/08/10,11:00,Inbound Sales - Voice,9,00:00:01.479,100.00%,00:00:45,00:07:15,0
2024/08/10,12:00,Inbound Sales - Voice,12,00:00:01.596,100.00%,00:00:41,00:06:31,0
2024/08/10,13:00,Inbound Sales - Voice,19,00:00:01.516,100.00%,00:01:02,00:09:15,0
2024/08/10,14:00,Inbound Sales - Voice,21,00:00:08.653,90.00%,00:01:32,00:10:25,0
2024/08/10,15:00,Inbound Sales - Voice,16,00:00:01.473,100.00%,00:00:45,00:13:28,0
2024/08/10,16:00,Inbound Sales - Voice,14,00:00:02.813,100.00%,00:00:53,00:10:38,0
2024/08/10,17:00,Inbound Sales - Voice,6,00:00:01.683,100.00%,00:02:43,00:10:33,0
2024/08/10,18:00,Inbound Sales - Voice,9,00:00:01.499,100.00%,00:01:08,00:09:54,0
2024/08/10,19:00,Inbound Sales - Voice,7,00:00:01.451,100.00%,00:00:15,00:07:37,0
2024/08/10,20:00,Inbound Sales - Voice,9,00:00:01.687,100.00%,00:00:37,00:06:17,0
2024/08/10,21:00,Inbound Sales - Voice,6,00:00:01.477,100.00%,00:01:30,00:15:58,0
2024/08/10,22:00,Inbound Sales - Voice,5,00:01:40.904,40.00%,00:00:14,00:08:27,1
2024/08/10,23:00,Inbound Sales - Voice,3,00:00:01.558,100.00%,00:00:17,00:03:02,0
