DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/09/12,09:00,Inbound Sales - Voice,6,00:00:12.836,83.33%,00:01:57,00:19:22,1
2024/09/12,10:00,Inbound Sales - Voice,11,00:00:01.439,100.00%,00:00:56,00:10:52,0
2024/09/12,11:00,Inbound Sales - Voice,12,00:00:01.622,100.00%,00:01:41,00:08:46,0
2024/09/12,12:00,Inbound Sales - Voice,14,00:00:03.722,92.86%,00:01:10,00:14:00,0
2024/09/12,13:00,Inbound Sales - Voice,14,00:00:06.934,92.86%,00:01:22,00:12:05,1
2024/09/12,14:00,Inbound Sales - Voice,17,00:00:12.615,82.35%,00:01:34,00:11:41,0
2024/09/12,15:00,Inbound Sales - Voice,10,00:00:01.628,100.00%,00:01:28,00:11:38,0
2024/09/12,16:00,Inbound Sales - Voice,9,00:00:01.359,100.00%,00:00:54,00:09:14,0
2024/09/12,17:00,Inbound Sales - Voice,6,00:00:01.747,100.00%,00:00:34,00:14:01,0
2024/09/12,18:00,Inbound Sales - Voice,13,00:00:09.388,84.62%,00:01:44,00:13:01,0
2024/09/12,19:00,Inbound Sales - Voice,9,00:00:01.880,100.00%,00:01:07,00:09:32,0
2024/09/12,20:00,Inbound Sales - Voice,8,00:00:01.494,100.00%,00:00:48,00:16:43,0
2024/09/12,21:00,Inbound Sales - Voice,14,00:02:10.831,66.67%,00:00:36,00:14:09,1
2024/09/12,22:00,Inbound Sales - Voice,4,00:01:42.597,50.00%,00:01:26,00:27:53,2
2024/09/12,23:00,Inbound Sales - Voice,3,00:00:01.518,100.00%,00:01:05,00:12:04,0
