DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/01/18,09:00,Inbound Sales - Voice,5,00:00:07.681,100.00%,00:00:54,00:14:17,0
2025/01/18,10:00,Inbound Sales - Voice,13,00:00:56.925,75.00%,00:01:34,00:10:42,1
2025/01/18,11:00,Inbound Sales - Voice,16,00:00:09.312,100.00%,00:00:58,00:14:05,0
2025/01/18,12:00,Inbound Sales - Voice,23,00:01:34.219,66.67%,00:01:05,00:12:01,0
2025/01/18,13:00,Inbound Sales - Voice,19,00:00:33.434,83.33%,00:01:22,00:11:54,0
2025/01/18,14:00,Inbound Sales - Voice,14,00:00:17.538,92.31%,00:00:54,00:06:53,0
2025/01/18,15:00,Inbound Sales - Voice,14,00:00:01.722,100.00%,00:01:40,00:11:25,0
2025/01/18,16:00,Inbound Sales - Voice,18,00:00:32.944,75.00%,00:01:00,00:18:07,1
2025/01/18,17:00,Inbound Sales - Voice,14,00:00:22.202,85.71%,00:00:41,00:11:18,0
2025/01/18,18:00,Inbound Sales - Voice,17,00:00:38.656,70.59%,00:01:31,00:09:48,1
2025/01/18,19:00,Inbound Sales - Voice,7,00:00:01.318,100.00%,00:00:55,00:16:00,0
2025/01/18,20:00,Inbound Sales - Voice,2,00:00:01.494,100.00%,00:01:10,00:03:39,0
2025/01/18,21:00,Inbound Sales - Voice,3,00:00:01.485,100.00%,00:02:10,00:07:57,0
2025/01/18,22:00,Inbound Sales - Voice,5,00:00:01.468,100.00%,00:02:19,00:07:49,0
2025/01/18,23:00,Inbound Sales - Voice,6,00:00:01.470,100.00%,00:01:54,00:05:31,0
