DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/01/08,09:00,Inbound Sales - Voice,2,00:00:01.605,100.00%,00:00:08,00:07:57,0
2025/01/08,10:00,Inbound Sales - Voice,11,00:00:01.509,100.00%,00:01:15,00:18:25,0
2025/01/08,11:00,Inbound Sales - Voice,12,00:00:01.517,100.00%,00:01:16,00:08:01,0
2025/01/08,12:00,Inbound Sales - Voice,15,00:00:01.487,100.00%,00:00:46,00:06:51,0
2025/01/08,13:00,Inbound Sales - Voice,13,00:00:01.630,100.00%,00:01:12,00:11:22,0
2025/01/08,14:00,Inbound Sales - Voice,15,00:00:01.581,100.00%,00:00:59,00:10:39,0
2025/01/08,15:00,Inbound Sales - Voice,14,00:00:01.529,100.00%,00:00:46,00:08:32,0
2025/01/08,16:00,Inbound Sales - Voice,11,00:00:01.505,100.00%,00:01:08,00:15:12,0
2025/01/08,17:00,Inbound Sales - Voice,21,00:00:06.757,95.24%,00:01:36,00:09:15,1
2025/01/08,18:00,Inbound Sales - Voice,9,00:00:01.549,100.00%,00:00:51,00:05:52,0
2025/01/08,19:00,Inbound Sales - Voice,16,00:00:08.188,93.75%,00:00:58,00:12:35,0
2025/01/08,20:00,Inbound Sales - Voice,8,00:00:17.896,100.00%,00:00:56,00:12:10,0
2025/01/08,21:00,Inbound Sales - Voice,8,00:00:01.509,100.00%,00:01:20,00:09:22,0
2025/01/08,22:00,Inbound Sales - Voice,6,00:05:17.007,50.00%,00:02:28,00:14:58,1
2025/01/08,23:00,Inbound Sales - Voice,3,00:02:03.557,66.67%,00:01:21,00:21:49,0
