DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/11/10,09:00,Inbound Sales - Voice,5,00:00:01.505,100.00%,00:02:14,00:12:43,0
2024/11/10,10:00,Inbound Sales - Voice,8,00:00:03.974,100.00%,00:01:20,00:20:38,0
2024/11/10,11:00,Inbound Sales - Voice,7,00:00:01.356,100.00%,00:02:25,00:12:35,0
2024/11/10,12:00,Inbound Sales - Voice,13,00:00:01.527,100.00%,00:01:30,00:09:27,0
2024/11/10,13:00,Inbound Sales - Voice,17,00:00:01.562,100.00%,00:01:22,00:13:08,0
2024/11/10,14:00,Inbound Sales - Voice,11,00:00:01.419,100.00%,00:01:02,00:06:53,0
2024/11/10,15:00,Inbound Sales - Voice,17,00:00:01.477,100.00%,00:00:41,00:07:21,0
2024/11/10,16:00,Inbound Sales - Voice,16,00:00:01.512,100.00%,00:00:59,00:15:06,0
2024/11/10,17:00,Inbound Sales - Voice,13,00:00:01.498,100.00%,00:01:53,00:13:33,0
2024/11/10,18:00,Inbound Sales - Voice,19,00:00:01.509,100.00%,00:01:20,00:07:45,0
2024/11/10,19:00,Inbound Sales - Voice,9,00:00:01.611,100.00%,00:01:02,00:06:51,0
2024/11/10,20:00,Inbound Sales - Voice,1,00:00:01.442,100.00%,00:01:39,00:33:25,0
2024/11/10,21:00,Inbound Sales - Voice,3,00:00:01.545,100.00%,00:00:28,00:11:43,0
2024/11/10,22:00,Inbound Sales - Voice,3,00:00:01.516,100.00%,00:02:19,00:05:09,0
2024/11/10,23:00,Inbound Sales - Voice,3,00:00:01.521,100.00%,00:00:32,00:16:50,0
