DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/09/25,09:00,Inbound Sales - Voice,11,00:00:01.482,100.00%,00:00:40,00:08:56,0
2024/09/25,10:00,Inbound Sales - Voice,7,00:00:01.512,100.00%,00:00:58,00:09:25,0
2024/09/25,11:00,Inbound Sales - Voice,16,00:00:01.591,100.00%,00:00:27,00:07:52,0
2024/09/25,12:00,Inbound Sales - Voice,22,00:00:01.546,100.00%,00:00:54,00:09:44,0
2024/09/25,13:00,Inbound Sales - Voice,13,00:00:03.963,92.31%,00:01:31,00:10:03,0
2024/09/25,14:00,Inbound Sales - Voice,15,00:00:08.957,86.67%,00:01:01,00:07:30,0
2024/09/25,15:00,Inbound Sales - Voice,18,00:00:01.480,100.00%,00:01:03,00:05:54,0
2024/09/25,16:00,Inbound Sales - Voice,15,00:00:01.681,100.00%,00:00:53,00:10:29,0
2024/09/25,17:00,Inbound Sales - Voice,8,00:00:01.524,100.00%,00:00:50,00:23:32,0
2024/09/25,18:00,Inbound Sales - Voice,6,00:00:01.465,100.00%,00:00:51,00:12:51,0
2024/09/25,19:00,Inbound Sales - Voice,9,00:00:01.494,100.00%,00:01:44,00:16:38,0
2024/09/25,20:00,Inbound Sales - Voice,13,00:00:03.654,100.00%,00:00:54,00:08:38,0
2024/09/25,21:00,Inbound Sales - Voice,7,00:00:01.688,100.00%,00:01:05,00:15:13,0
2024/09/25,22:00,Inbound Sales - Voice,6,00:00:01.492,100.00%,00:01:22,00:09:29,0
2024/09/25,23:00,Inbound Sales - Voice,2,00:00:01.493,100.00%,00:02:16,00:44:12,0
