DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/01/09,09:00,Inbound Sales - Voice,7,00:00:01.564,100.00%,00:01:36,00:13:51,0
2025/01/09,10:00,Inbound Sales - Voice,9,00:00:01.507,100.00%,00:01:29,00:08:53,0
2025/01/09,11:00,Inbound Sales - Voice,15,00:00:01.527,100.00%,00:01:37,00:08:32,0
2025/01/09,12:00,Inbound Sales - Voice,19,00:00:01.617,100.00%,00:01:29,00:07:59,0
2025/01/09,13:00,Inbound Sales - Voice,17,00:00:01.762,100.00%,00:00:44,00:07:37,0
2025/01/09,14:00,Inbound Sales - Voice,18,00:00:01.530,100.00%,00:01:40,00:09:57,0
2025/01/09,15:00,Inbound Sales - Voice,16,00:00:06.573,100.00%,00:01:28,00:09:00,0
2025/01/09,16:00,Inbound Sales - Voice,11,00:00:01.545,100.00%,00:01:14,00:11:43,0
2025/01/09,17:00,Inbound Sales - Voice,24,00:00:02.665,100.00%,00:01:48,00:10:19,0
2025/01/09,18:00,Inbound Sales - Voice,16,00:00:01.635,100.00%,00:01:34,00:11:28,0
2025/01/09,19:00,Inbound Sales - Voice,10,00:00:01.513,100.00%,00:01:52,00:12:01,0
2025/01/09,20:00,Inbound Sales - Voice,10,00:00:01.651,100.00%,00:00:23,00:08:08,0
2025/01/09,21:00,Inbound Sales - Voice,3,00:00:01.547,100.00%,00:02:18,00:37:00,0
2025/01/09,22:00,Inbound Sales - Voice,3,00:00:30.988,66.67%,00:01:08,00:13:44,0
2025/01/09,23:00,Inbound Sales - Voice,3,00:00:01.593,100.00%,00:01:59,00:06:11,0
