DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/08/20,09:00,Inbound Sales - Voice,12,00:00:26.906,83.33%,00:02:15,00:17:16,0
2024/08/20,10:00,Inbound Sales - Voice,12,00:00:01.632,100.00%,00:01:34,00:11:48,0
2024/08/20,11:00,Inbound Sales - Voice,13,00:00:08.409,92.31%,00:01:21,00:09:35,1
2024/08/20,12:00,Inbound Sales - Voice,11,00:00:01.683,100.00%,00:00:59,00:11:01,0
2024/08/20,13:00,Inbound Sales - Voice,23,00:00:18.512,86.96%,00:01:17,00:11:45,1
2024/08/20,14:00,Inbound Sales - Voice,26,00:01:00.804,66.67%,00:01:03,00:08:04,1
2024/08/20,15:00,Inbound Sales - Voice,11,00:00:01.521,100.00%,00:01:04,00:10:42,0
2024/08/20,16:00,Inbound Sales - Voice,25,00:00:49.635,61.90%,00:00:54,00:13:40,0
2024/08/20,17:00,Inbound Sales - Voice,22,00:00:16.638,76.19%,00:01:01,00:09:28,0
2024/08/20,18:00,Inbound Sales - Voice,35,00:01:49.714,8.00%,00:02:17,00:13:31,5
2024/08/20,19:00,Inbound Sales - Voice,10,00:00:01.791,100.00%,00:01:44,00:07:29,0
2024/08/20,20:00,Inbound Sales - Voice,20,00:00:19.738,94.74%,00:00:36,00:14:03,0
2024/08/20,21:00,Inbound Sales - Voice,13,00:02:09.092,41.67%,00:00:30,00:17:13,1
2024/08/20,22:00,Inbound Sales - Voice,5,00:00:01.507,100.00%,00:01:41,00:13:49,0
2024/08/20,23:00,Inbound Sales - Voice,2,00:00:01.455,100.00%,00:00:08,00:24:48,0
