DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/10/12,09:00,Inbound Sales - Voice,8,00:00:27.728,85.71%,00:01:14,00:17:10,0
2024/10/12,10:00,Inbound Sales - Voice,6,00:00:01.490,100.00%,00:01:43,00:19:36,0
2024/10/12,11:00,Inbound Sales - Voice,14,00:00:30.054,75.00%,00:00:58,00:11:23,0
2024/10/12,12:00,Inbound Sales - Voice,14,00:00:02.994,100.00%,00:02:33,00:13:41,0
2024/10/12,13:00,Inbound Sales - Voice,17,00:00:18.470,76.47%,00:01:34,00:21:50,1
2024/10/12,14:00,Inbound Sales - Voice,14,00:00:22.667,85.71%,00:01:09,00:08:48,0
2024/10/12,15:00,Inbound Sales - Voice,9,00:00:01.514,100.00%,00:01:41,00:07:42,0
2024/10/12,16:00,Inbound Sales - Voice,12,00:00:01.522,100.00%,00:01:10,00:12:58,0
2024/10/12,17:00,Inbound Sales - Voice,4,00:00:01.843,100.00%,00:00:51,00:15:46,0
2024/10/12,18:00,Inbound Sales - Voice,13,00:00:24.756,83.33%,00:01:42,00:21:07,0
2024/10/12,19:00,Inbound Sales - Voice,12,00:00:12.089,90.91%,00:02:05,00:11:20,0
2024/10/12,20:00,Inbound Sales - Voice,8,00:00:01.527,100.00%,00:00:34,00:12:16,0
2024/10/12,21:00,Inbound Sales - Voice,4,00:00:01.473,100.00%,00:00:30,00:17:44,0
2024/10/12,22:00,Inbound Sales - Voice,5,00:00:19.973,60.00%,00:01:08,00:29:56,2
2024/10/12,23:00,Inbound Sales - Voice,1,00:00:01.496,100.00%,00:00:52,00:04:31,0
