DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/07/17,09:00,Inbound Sales - Voice,11,00:00:23.872,80.00%,00:01:49,00:13:11,0
2024/07/17,10:00,Inbound Sales - Voice,16,00:00:35.567,80.00%,00:01:04,00:08:29,0
2024/07/17,11:00,Inbound Sales - Voice,29,00:01:12.418,64.00%,00:01:57,00:11:17,3
2024/07/17,12:00,Inbound Sales - Voice,44,00:01:46.590,41.67%,00:01:44,00:08:48,5
2024/07/17,13:00,Inbound Sales - Voice,29,00:01:30.568,52.00%,00:01:39,00:09:42,3
2024/07/17,14:00,Inbound Sales - Voice,20,00:00:37.280,73.68%,00:00:50,00:08:11,0
2024/07/17,15:00,Inbound Sales - Voice,21,00:00:13.419,85.71%,00:01:36,00:10:40,1
2024/07/17,16:00,Inbound Sales - Voice,25,00:00:17.646,83.33%,00:01:17,00:09:38,1
2024/07/17,17:00,Inbound Sales - Voice,37,00:02:13.672,21.43%,00:01:30,00:09:01,5
2024/07/17,18:00,Inbound Sales - Voice,39,00:01:18.608,47.06%,00:01:34,00:11:28,4
2024/07/17,19:00,Inbound Sales - Voice,31,00:02:48.764,38.46%,00:00:59,00:09:25,3
2024/07/17,20:00,Inbound Sales - Voice,36,00:01:50.776,43.33%,00:02:22,00:15:51,4
2024/07/17,21:00,Inbound Sales - Voice,20,00:02:32.601,43.75%,00:01:27,00:11:20,3
2024/07/17,22:00,Inbound Sales - Voice,15,00:00:56.720,53.33%,00:01:26,00:13:31,3
2024/07/17,23:00,Inbound Sales - Voice,15,00:05:30.079,13.33%,00:01:55,00:09:14,9
