DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/09/10,09:00,Inbound Sales - Voice,7,00:00:02.116,100.00%,00:00:33,00:14:18,0
2024/09/10,10:00,Inbound Sales - Voice,14,00:00:01.579,100.00%,00:01:29,00:07:47,0
2024/09/10,11:00,Inbound Sales - Voice,9,00:00:01.521,100.00%,00:01:10,00:13:40,0
2024/09/10,12:00,Inbound Sales - Voice,17,00:00:01.531,100.00%,00:00:57,00:11:12,0
2024/09/10,13:00,Inbound Sales - Voice,6,00:00:01.505,100.00%,00:01:12,00:19:18,0
2024/09/10,14:00,Inbound Sales - Voice,13,00:00:01.623,100.00%,00:00:41,00:10:59,0
2024/09/10,15:00,Inbound Sales - Voice,14,00:00:01.590,100.00%,00:01:07,00:13:08,0
2024/09/10,16:00,Inbound Sales - Voice,15,00:00:01.516,100.00%,00:00:54,00:10:10,0
2024/09/10,17:00,Inbound Sales - Voice,10,00:00:01.517,100.00%,00:00:51,00:08:13,0
2024/09/10,18:00,Inbound Sales - Voice,14,00:00:01.691,100.00%,00:00:28,00:10:55,0
2024/09/10,19:00,Inbound Sales - Voice,13,00:00:01.568,100.00%,00:00:36,00:08:06,0
2024/09/10,20:00,Inbound Sales - Voice,9,00:00:01.634,100.00%,00:01:16,00:10:14,0
2024/09/10,21:00,Inbound Sales - Voice,1,00:00:01.561,100.00%,00:01:21,00:04:32,0
2024/09/10,22:00,Inbound Sales - Voice,3,00:00:01.923,100.00%,00:00:18,00:23:55,0
2024/09/10,23:00,Inbound Sales - Voice,5,00:00:57.545,60.00%,00:01:59,00:09:34,0
