DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/09/14,09:00,Inbound Sales - Voice,12,00:00:01.396,100.00%,00:01:44,00:13:12,0
2024/09/14,10:00,Inbound Sales - Voice,6,00:00:01.513,100.00%,00:01:00,00:16:08,0
2024/09/14,11:00,Inbound Sales - Voice,7,00:00:01.499,100.00%,00:01:26,00:12:24,0
2024/09/14,12:00,Inbound Sales - Voice,13,00:00:01.458,100.00%,00:01:19,00:14:24,0
2024/09/14,13:00,Inbound Sales - Voice,10,00:00:01.470,100.00%,00:01:25,00:12:45,0
2024/09/14,14:00,Inbound Sales - Voice,13,00:00:03.443,100.00%,00:02:15,00:08:36,0
2024/09/14,15:00,Inbound Sales - Voice,8,00:00:01.483,100.00%,00:01:56,00:04:14,0
2024/09/14,16:00,Inbound Sales - Voice,21,00:00:01.482,100.00%,00:01:07,00:08:15,0
2024/09/14,17:00,Inbound Sales - Voice,12,00:00:01.491,100.00%,00:01:04,00:11:48,0
2024/09/14,18:00,Inbound Sales - Voice,12,00:00:01.536,100.00%,00:01:03,00:10:08,0
2024/09/14,19:00,Inbound Sales - Voice,9,00:00:01.462,100.00%,00:01:45,00:15:52,0
2024/09/14,20:00,Inbound Sales - Voice,6,00:00:01.326,100.00%,00:02:11,00:08:46,0
2024/09/14,21:00,Inbound Sales - Voice,6,00:00:01.323,100.00%,00:01:26,00:12:57,0
2024/09/14,22:00,Inbound Sales - Voice,3,00:00:01.479,100.00%,00:00:07,00:05:53,0
