DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/04/28,00:00,Delivered - Voice,3,00:00:01.433,100.00%,00:02:46,00:03:31,0
2025/04/28,00:00,Early Returns - Voice,2,00:00:01.684,100.00%,00:01:51,00:04:20,0
2025/04/28,00:00,In Transit - Voice,1,00:00:01.337,100.00%,00:01:40,00:09:14,0
2025/04/28,00:00,Pre-Transit_Cancellations - Voice,1,00:00:02.001,100.00%,00:02:43,00:14:00,0
2025/04/28,01:00,Early Returns - Voice,2,00:00:01.731,100.00%,00:01:50,00:06:41,0
2025/04/28,01:00,Pre-Transit_Cancellations - Voice,2,00:00:01.950,100.00%,00:02:18,00:04:59,0
2025/04/28,02:00,In Transit - Voice,2,00:00:01.278,100.00%,00:01:18,00:04:55,0
2025/04/28,02:00,Pre-Transit_Cancellations - Voice,1,00:00:01.980,100.00%,00:03:50,00:16:11,0
2025/04/28,03:00,Early Returns - Voice,1,00:00:01.718,100.00%,00:01:58,00:05:04,0
2025/04/28,06:00,Early Returns - Voice,1,00:00:01.696,100.00%,00:00:53,00:04:42,0
2025/04/28,06:00,Pre-Transit_Cancellations - Voice,4,00:00:01.998,100.00%,00:01:03,00:04:41,0
2025/04/28,07:00,Delivered - Voice,3,00:00:01.410,100.00%,00:01:06,00:06:20,0
2025/04/28,07:00,EOT Delivered - Voice,2,00:00:01.497,100.00%,00:01:23,00:15:43,0
2025/04/28,07:00,Pre-Transit_Cancellations - Voice,2,00:01:42.474,50.00%,00:00:45,00:22:07,0
2025/04/28,08:00,Delivered - Voice,4,00:00:01.828,100.00%,00:01:27,00:12:58,0
2025/04/28,08:00,Early Returns - Voice,7,00:00:01.721,100.00%,00:01:41,00:08:47,0
2025/04/28,08:00,EOT Delivered - Voice,1,00:00:01.514,100.00%,00:01:34,00:08:40,0
2025/04/28,08:00,In Transit - Voice,24,00:00:18.856,95.83%,00:01:42,00:06:53,1
2025/04/28,08:00,Pre Transit - Voice,1,00:01:45.376,100.00%,00:02:53,00:12:54,0
2025/04/28,08:00,Pre-Transit_Cancellations - Voice,4,00:00:01.987,100.00%,00:00:47,00:04:37,0
2025/04/28,09:00,Delivered - Voice,9,00:01:03.242,66.67%,00:01:40,00:13:46,0
2025/04/28,09:00,Early Returns - Voice,14,00:01:20.247,92.86%,00:01:29,00:11:43,0
2025/04/28,09:00,EOT Delivered - Voice,5,00:00:20.149,80.00%,00:01:55,00:14:30,1
2025/04/28,09:00,In Transit - Voice,15,00:00:52.551,86.67%,00:01:41,00:14:46,0
2025/04/28,09:00,Pre Transit - Voice,3,00:00:38.166,66.67%,00:02:25,00:09:24,1
2025/04/28,09:00,Pre-Transit_Cancellations - Voice,5,00:00:58.202,80.00%,00:01:14,00:04:51,0
2025/04/28,10:00,Delivered - Voice,15,00:24:39.869,30.00%,00:01:53,00:15:34,0
2025/04/28,10:00,Early Returns - Voice,40,00:25:17.798,39.29%,00:01:27,00:15:55,4
2025/04/28,10:00,EOT Delivered - Voice,8,00:41:10.383,40.00%,00:01:25,00:19:56,1
2025/04/28,10:00,In Transit - Voice,30,00:16:32.735,4.00%,00:02:00,00:11:58,14
2025/04/28,10:00,Pre Transit - Voice,8,00:03:59.962,16.67%,00:02:25,00:15:11,1
2025/04/28,10:00,Pre-Transit_Cancellations - Voice,10,01:05:07.603,40.00%,00:02:18,00:22:04,0
2025/04/28,11:00,Delivered - Voice,15,00:40:27.477,40.00%,00:01:42,00:16:09,0
2025/04/28,11:00,Early Returns - Voice,32,00:20:42.192,41.67%,00:02:00,00:14:02,5
2025/04/28,11:00,EOT Delivered - Voice,10,00:04:26.049,22.22%,00:01:50,00:11:51,1
2025/04/28,11:00,In Transit - Voice,32,00:22:14.344,14.29%,00:02:08,00:13:56,11
2025/04/28,11:00,Pre Transit - Voice,10,00:58:52.191,0.00%,00:02:12,00:10:04,2
2025/04/28,11:00,Pre-Transit_Cancellations - Voice,22,00:13:49.471,46.67%,00:01:58,00:10:33,2
2025/04/28,12:00,Delivered - Voice,28,00:04:46.497,36.84%,00:01:30,00:13:23,5
2025/04/28,12:00,Early Returns - Voice,28,00:04:26.734,47.37%,00:01:24,00:14:25,1
2025/04/28,12:00,EOT Delivered - Voice,18,00:04:51.336,53.85%,00:01:52,00:22:35,3
2025/04/28,12:00,In Transit - Voice,35,00:08:27.800,11.54%,00:01:57,00:09:05,8
2025/04/28,12:00,Pre Transit - Voice,21,00:37:47.778,15.38%,00:02:00,00:07:55,4
2025/04/28,12:00,Pre-Transit_Cancellations - Voice,17,00:30:43.139,27.27%,00:02:09,00:12:42,3
2025/04/28,13:00,Delivered - Voice,20,00:06:11.498,58.33%,00:01:38,00:16:54,0
2025/04/28,13:00,Early Returns - Voice,53,00:06:11.621,45.45%,00:01:42,00:13:01,6
2025/04/28,13:00,EOT Delivered - Voice,10,00:04:26.348,57.14%,00:01:31,00:19:26,0
2025/04/28,13:00,In Transit - Voice,32,00:13:20.399,10.00%,00:02:19,00:14:05,8
2025/04/28,13:00,Pre Transit - Voice,8,00:15:22.848,0.00%,00:02:47,00:05:53,2
2025/04/28,13:00,Pre-Transit_Cancellations - Voice,22,00:35:06.747,37.50%,00:02:26,00:03:49,10
2025/04/28,14:00,Delivered - Voice,22,00:10:31.163,23.08%,00:00:55,00:10:35,3
2025/04/28,14:00,Early Returns - Voice,42,00:12:01.116,39.29%,00:01:38,00:12:01,6
2025/04/28,14:00,EOT Delivered - Voice,14,00:14:58.173,28.57%,00:01:15,00:07:49,2
2025/04/28,14:00,In Transit - Voice,44,00:18:07.331,13.79%,00:01:44,00:06:54,10
2025/04/28,14:00,Pre Transit - Voice,13,00:15:26.701,0.00%,00:02:21,00:14:13,4
2025/04/28,14:00,Pre-Transit_Cancellations - Voice,26,00:38:58.746,41.18%,00:02:01,00:09:11,6
2025/04/28,15:00,Delivered - Voice,21,00:06:40.737,78.57%,00:01:52,00:10:27,1
2025/04/28,15:00,Early Returns - Voice,27,00:05:30.266,52.63%,00:01:50,00:14:27,1
2025/04/28,15:00,EOT Delivered - Voice,11,00:01:17.314,100.00%,00:01:45,00:12:51,0
2025/04/28,15:00,In Transit - Voice,30,00:10:00.086,21.74%,00:01:50,00:14:16,9
2025/04/28,15:00,Pre Transit - Voice,7,00:06:13.178,16.67%,00:02:55,00:20:53,5
2025/04/28,15:00,Pre-Transit_Cancellations - Voice,14,00:13:18.865,20.00%,00:00:57,00:02:34,3
2025/04/28,16:00,Delivered - Voice,16,00:05:48.595,76.92%,00:01:18,00:17:42,0
2025/04/28,16:00,Early Returns - Voice,25,00:02:49.106,65.00%,00:01:28,00:10:46,2
2025/04/28,16:00,EOT Delivered - Voice,9,00:10:29.922,57.14%,00:01:39,00:19:50,0
2025/04/28,16:00,In Transit - Voice,26,00:13:28.983,50.00%,00:01:59,00:12:55,5
2025/04/28,16:00,Pre Transit - Voice,6,00:02:15.419,33.33%,00:02:03,00:18:48,1
2025/04/28,16:00,Pre-Transit_Cancellations - Voice,10,00:03:11.576,50.00%,00:02:56,00:16:49,2
2025/04/28,17:00,Delivered - Voice,25,00:04:38.438,76.19%,00:01:48,00:17:03,4
2025/04/28,17:00,Early Returns - Voice,30,00:02:18.178,57.69%,00:01:33,00:15:04,4
2025/04/28,17:00,EOT Delivered - Voice,8,00:01:54.445,100.00%,00:02:23,00:15:54,0
2025/04/28,17:00,In Transit - Voice,14,00:03:03.100,46.15%,00:01:41,00:09:41,1
2025/04/28,17:00,Pre Transit - Voice,7,00:00:31.036,100.00%,00:02:10,00:14:33,0
2025/04/28,17:00,Pre-Transit_Cancellations - Voice,16,00:04:58.760,72.73%,00:01:33,00:06:35,3
2025/04/28,18:00,Delivered - Voice,11,00:00:38.831,90.00%,00:01:17,00:17:26,0
2025/04/28,18:00,Early Returns - Voice,19,00:00:52.846,81.25%,00:01:19,00:17:18,0
2025/04/28,18:00,EOT Delivered - Voice,5,00:00:56.292,60.00%,00:01:26,00:17:34,1
2025/04/28,18:00,In Transit - Voice,23,00:00:47.065,78.26%,00:01:34,00:09:20,1
2025/04/28,18:00,Pre Transit - Voice,3,00:00:48.133,100.00%,00:01:26,00:09:53,0
2025/04/28,18:00,Pre-Transit_Cancellations - Voice,9,00:00:11.572,100.00%,00:01:43,00:10:51,0
2025/04/28,19:00,Delivered - Voice,13,00:03:53.759,50.00%,00:01:43,00:17:02,4
2025/04/28,19:00,Early Returns - Voice,20,00:07:14.212,60.00%,00:01:35,00:15:44,3
2025/04/28,19:00,EOT Delivered - Voice,13,00:09:27.101,44.44%,00:01:14,00:17:51,2
2025/04/28,19:00,In Transit - Voice,28,00:11:46.185,8.70%,00:01:51,00:15:03,8
2025/04/28,19:00,Pre Transit - Voice,1,00:09:45.777,0.00%,00:06:12,00:21:40,0
2025/04/28,19:00,Pre-Transit_Cancellations - Voice,11,00:06:53.644,10.00%,00:02:11,00:08:11,4
2025/04/28,20:00,Delivered - Voice,8,00:04:02.978,33.33%,00:02:35,00:17:56,0
2025/04/28,20:00,Early Returns - Voice,17,00:03:05.759,66.67%,00:01:45,00:23:40,0
2025/04/28,20:00,EOT Delivered - Voice,1,00:02:04.655,,00:02:29,00:12:07,0
2025/04/28,20:00,In Transit - Voice,12,00:02:47.218,27.27%,00:01:55,00:12:24,6
2025/04/28,20:00,Pre Transit - Voice,4,00:04:33.771,33.33%,00:02:14,00:10:59,0
2025/04/28,20:00,Pre-Transit_Cancellations - Voice,4,00:04:39.860,33.33%,00:01:58,00:13:42,0
2025/04/28,21:00,Delivered - Voice,2,00:00:01.397,100.00%,00:01:27,00:10:14,0
2025/04/28,21:00,Early Returns - Voice,5,00:00:39.356,80.00%,00:02:27,00:14:53,0
2025/04/28,21:00,In Transit - Voice,6,00:00:11.190,100.00%,00:02:24,00:13:36,0
2025/04/28,21:00,Pre-Transit_Cancellations - Voice,3,00:00:01.965,100.00%,00:01:04,00:12:14,0
2025/04/28,22:00,Early Returns - Voice,7,00:00:40.668,85.71%,00:01:43,00:08:46,0
2025/04/28,22:00,In Transit - Voice,1,00:00:01.399,100.00%,00:03:42,00:10:26,0
2025/04/28,22:00,Pre-Transit_Cancellations - Voice,6,00:01:00.967,83.33%,00:01:55,00:10:02,0
2025/04/28,23:00,Early Returns - Voice,3,00:01:04.998,66.67%,00:02:04,00:14:30,0
2025/04/28,23:00,EOT Delivered - Voice,1,00:00:01.522,100.00%,00:01:24,00:11:43,0
2025/04/28,23:00,In Transit - Voice,4,00:00:01.413,100.00%,00:02:13,00:17:19,0
2025/04/28,23:00,Pre-Transit_Cancellations - Voice,6,00:01:02.537,100.00%,00:01:07,00:13:27,0
