DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/06/25,00:00,In Transit - Voice,2,00:00:01.440,100.00%,00:01:13,00:05:18,0
2025/06/25,00:00,Pre-Transit_Cancellations - Voice,1,00:00:02.064,100.00%,00:02:13,00:05:00,0
2025/06/25,05:00,Pre-Transit_Cancellations - Voice,1,00:00:01.929,100.00%,00:01:07,00:32:59,0
2025/06/25,06:00,Delivered - Voice,1,00:00:01.512,100.00%,00:01:49,00:12:33,0
2025/06/25,06:00,In Transit - Voice,1,00:00:01.514,100.00%,00:01:26,00:04:42,0
2025/06/25,06:00,Pre-Transit_Cancellations - Voice,1,00:00:01.958,100.00%,00:00:07,00:07:11,0
2025/06/25,07:00,Delivered - Voice,3,00:00:01.497,100.00%,00:02:20,00:14:49,0
2025/06/25,07:00,Early Returns - Voice,6,00:02:03.674,75.00%,00:02:09,00:09:31,0
2025/06/25,07:00,In Transit - Voice,4,00:01:27.497,25.00%,00:00:45,00:11:23,2
2025/06/25,07:00,Pre Transit - Voice,3,00:01:59.745,100.00%,00:01:31,00:05:43,0
2025/06/25,07:00,Pre-Transit_Cancellations - Voice,2,00:02:12.150,50.00%,00:00:50,00:04:11,0
2025/06/25,08:00,Delivered - Voice,7,00:01:12.575,83.33%,00:01:22,00:07:47,0
2025/06/25,08:00,Early Returns - Voice,6,00:00:54.206,100.00%,00:01:28,00:16:29,0
2025/06/25,08:00,EOT Delivered - Voice,3,00:02:22.383,66.67%,00:02:19,00:07:56,0
2025/06/25,08:00,In Transit - Voice,14,00:01:20.006,83.33%,00:01:35,00:11:29,0
2025/06/25,08:00,Pre Transit - Voice,1,00:07:10.453,0.00%,00:02:26,00:05:33,0
2025/06/25,08:00,Pre-Transit_Cancellations - Voice,10,00:00:55.877,85.71%,00:02:29,00:10:12,0
2025/06/25,09:00,Delivered - Voice,15,00:02:04.060,78.57%,00:01:36,00:11:29,0
2025/06/25,09:00,Early Returns - Voice,8,00:00:53.812,71.43%,00:01:25,00:08:53,0
2025/06/25,09:00,EOT Delivered - Voice,4,00:00:23.611,100.00%,00:01:55,00:12:56,0
2025/06/25,09:00,In Transit - Voice,20,00:00:47.430,85.00%,00:01:41,00:07:55,1
2025/06/25,09:00,Pre Transit - Voice,3,00:05:17.031,66.67%,00:01:48,00:06:30,0
2025/06/25,09:00,Pre-Transit_Cancellations - Voice,8,00:00:53.694,87.50%,00:01:02,00:09:52,0
2025/06/25,10:00,Delivered - Voice,13,00:01:15.812,90.91%,00:01:44,00:14:24,1
2025/06/25,10:00,Early Returns - Voice,11,00:01:41.883,80.00%,00:01:00,00:19:59,1
2025/06/25,10:00,EOT Delivered - Voice,8,00:00:57.268,85.71%,00:02:17,00:23:52,0
2025/06/25,10:00,In Transit - Voice,23,00:00:29.531,90.91%,00:02:09,00:18:47,1
2025/06/25,10:00,Pre Transit - Voice,5,00:06:11.242,40.00%,00:01:30,00:06:13,0
2025/06/25,10:00,Pre-Transit_Cancellations - Voice,5,00:01:16.462,60.00%,00:02:55,00:10:31,0
2025/06/25,11:00,Delivered - Voice,14,00:01:30.839,78.57%,00:01:59,00:27:25,0
2025/06/25,11:00,Early Returns - Voice,19,00:00:29.960,84.21%,00:02:20,00:20:34,1
2025/06/25,11:00,EOT Delivered - Voice,7,00:02:13.451,33.33%,00:02:24,00:16:18,2
2025/06/25,11:00,In Transit - Voice,22,00:00:38.492,81.82%,00:01:43,00:20:30,1
2025/06/25,11:00,Pre Transit - Voice,2,00:01:03.607,50.00%,00:03:07,00:35:30,0
