DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/06/08,00:00,Early Returns - Voice,2,00:00:38.866,100.00%,00:02:21,00:17:29,0
2025/06/08,00:00,EOT Delivered - Voice,1,00:00:01.604,100.00%,00:00:46,00:04:21,0
2025/06/08,00:00,Pre-Transit_Cancellations - Voice,2,00:00:01.952,100.00%,00:00:59,00:03:56,0
2025/06/08,01:00,In Transit - Voice,1,00:00:01.420,100.00%,00:00:06,00:13:37,0
2025/06/08,06:00,Pre-Transit_Cancellations - Voice,1,00:00:02.079,100.00%,00:01:16,00:27:34,0
2025/06/08,07:00,Pre Transit - Voice,1,00:00:01.389,100.00%,00:02:57,00:14:10,0
2025/06/08,07:00,Pre-Transit_Cancellations - Voice,1,00:00:02.077,100.00%,00:00:58,00:07:56,0
2025/06/08,08:00,Delivered - Voice,2,00:00:01.426,100.00%,00:00:17,00:08:07,0
2025/06/08,08:00,Early Returns - Voice,2,00:00:24.339,100.00%,00:02:18,00:33:00,0
2025/06/08,08:00,In Transit - Voice,1,00:00:01.393,100.00%,00:00:56,00:04:45,0
2025/06/08,08:00,Pre-Transit_Cancellations - Voice,2,00:00:16.664,100.00%,00:03:18,00:08:33,0
2025/06/08,09:00,Delivered - Voice,5,00:00:01.478,100.00%,00:01:01,00:09:24,0
2025/06/08,09:00,Early Returns - Voice,5,00:00:01.765,100.00%,00:01:46,00:20:18,0
2025/06/08,09:00,EOT Delivered - Voice,4,00:00:01.501,100.00%,00:02:05,00:27:37,0
2025/06/08,09:00,In Transit - Voice,3,00:00:01.386,100.00%,00:01:30,00:18:21,0
2025/06/08,09:00,Pre-Transit_Cancellations - Voice,3,00:00:02.027,100.00%,00:03:01,00:15:50,0
2025/06/08,10:00,Delivered - Voice,2,00:00:32.460,100.00%,00:01:35,00:30:13,0
2025/06/08,10:00,Early Returns - Voice,11,00:00:07.811,100.00%,00:02:00,00:16:41,0
2025/06/08,10:00,EOT Delivered - Voice,2,00:00:01.485,100.00%,00:01:53,00:19:32,0
2025/06/08,10:00,In Transit - Voice,8,00:00:18.239,100.00%,00:01:50,00:10:43,0
2025/06/08,10:00,Pre Transit - Voice,2,00:00:01.464,100.00%,00:02:20,00:25:06,0
2025/06/08,10:00,Pre-Transit_Cancellations - Voice,5,00:00:02.025,100.00%,00:02:13,00:08:41,0
2025/06/08,11:00,Delivered - Voice,7,00:01:09.324,83.33%,00:00:42,00:11:36,0
2025/06/08,11:00,Early Returns - Voice,16,00:01:03.555,80.00%,00:01:27,00:13:57,0
2025/06/08,11:00,EOT Delivered - Voice,6,00:01:51.776,80.00%,00:02:20,00:12:57,0
2025/06/08,11:00,In Transit - Voice,6,00:01:22.394,66.67%,00:02:28,00:19:28,0
2025/06/08,11:00,Pre Transit - Voice,1,00:01:04.296,0.00%,,,1
2025/06/08,11:00,Pre-Transit_Cancellations - Voice,9,00:01:23.894,66.67%,00:01:23,00:08:38,0
2025/06/08,12:00,Delivered - Voice,7,00:03:09.510,80.00%,00:02:06,00:27:19,0
2025/06/08,12:00,Early Returns - Voice,7,00:02:38.915,83.33%,00:02:01,00:28:10,0
2025/06/08,12:00,EOT Delivered - Voice,7,00:01:46.838,83.33%,00:01:15,00:12:49,0
2025/06/08,12:00,In Transit - Voice,11,00:05:08.311,18.18%,00:02:33,00:24:00,3
2025/06/08,12:00,Pre Transit - Voice,2,00:04:12.030,50.00%,,00:06:40,1
2025/06/08,12:00,Pre-Transit_Cancellations - Voice,4,00:02:52.142,25.00%,00:02:39,00:19:34,1
2025/06/08,13:00,Delivered - Voice,9,00:03:26.684,83.33%,00:01:20,00:18:16,0
2025/06/08,13:00,Early Returns - Voice,9,00:02:03.178,100.00%,00:01:26,00:14:05,0
2025/06/08,13:00,EOT Delivered - Voice,4,00:03:12.345,100.00%,00:01:30,00:10:26,0
2025/06/08,13:00,In Transit - Voice,5,00:00:19.169,80.00%,00:01:06,00:09:54,1
2025/06/08,13:00,Pre Transit - Voice,1,00:08:55.670,0.00%,,,1
2025/06/08,13:00,Pre-Transit_Cancellations - Voice,4,00:00:12.169,75.00%,00:01:43,00:08:10,1
2025/06/08,14:00,Delivered - Voice,7,00:02:25.442,83.33%,00:02:21,00:23:44,0
2025/06/08,14:00,Early Returns - Voice,8,00:01:02.811,75.00%,00:01:39,00:17:40,1
2025/06/08,14:00,EOT Delivered - Voice,3,00:01:36.665,66.67%,00:01:51,00:14:30,0
2025/06/08,14:00,In Transit - Voice,7,00:00:56.224,71.43%,00:01:17,00:10:49,0
2025/06/08,14:00,Pre Transit - Voice,3,00:04:49.432,66.67%,00:01:42,00:13:05,0
2025/06/08,14:00,Pre-Transit_Cancellations - Voice,6,00:01:38.347,100.00%,00:01:56,00:11:29,0
2025/06/08,15:00,Delivered - Voice,6,00:00:01.474,100.00%,00:01:13,00:17:08,0
2025/06/08,15:00,Early Returns - Voice,9,00:00:03.259,100.00%,00:02:08,00:13:46,0
2025/06/08,15:00,EOT Delivered - Voice,5,00:00:01.555,100.00%,00:03:35,00:28:55,0
2025/06/08,15:00,In Transit - Voice,6,00:00:10.966,100.00%,00:01:49,00:16:23,0
2025/06/08,15:00,Pre Transit - Voice,1,00:00:01.399,100.00%,00:01:44,00:23:48,0
2025/06/08,15:00,Pre-Transit_Cancellations - Voice,7,00:00:02.019,100.00%,00:02:33,00:09:38,0
