DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/05/25,00:00,Inbound Sales - Voice,3,00:00:01.512,100.00%,00:01:14,00:06:11,0
2025/05/25,01:00,Inbound Sales - Voice,2,00:00:01.490,100.00%,00:00:30,00:15:00,0
2025/05/25,03:00,Inbound Sales - Voice,2,00:11:28.618,100.00%,00:00:43,00:01:14,0
2025/05/25,04:00,Inbound Sales - Voice,14,00:01:19.777,66.67%,00:00:46,00:10:46,2
2025/05/25,05:00,Inbound Sales - Voice,12,00:00:57.841,66.67%,00:00:52,00:05:39,0
2025/05/25,06:00,Inbound Sales - Voice,2,00:00:17.018,100.00%,00:01:23,00:07:17,0
2025/05/25,07:00,Inbound Sales - Voice,8,00:00:07.196,100.00%,00:01:16,00:09:39,0
2025/05/25,08:00,Inbound Sales - Voice,6,00:00:01.438,100.00%,00:01:26,00:11:27,0
2025/05/25,09:00,Inbound Sales - Voice,27,00:00:09.939,100.00%,00:01:01,00:11:37,0
2025/05/25,10:00,Inbound Sales - Voice,17,00:00:01.597,100.00%,00:01:22,00:15:27,0
2025/05/25,11:00,Inbound Sales - Voice,27,00:00:01.504,100.00%,00:01:27,00:15:11,0
2025/05/25,12:00,Inbound Sales - Voice,27,00:00:05.199,100.00%,00:01:14,00:10:56,0
2025/05/25,13:00,Inbound Sales - Voice,30,00:00:06.116,100.00%,00:01:20,00:16:26,0
2025/05/25,14:00,Inbound Sales - Voice,25,00:00:12.856,96.00%,00:01:18,00:12:38,0
2025/05/25,15:00,Inbound Sales - Voice,33,00:00:18.727,90.63%,00:01:28,00:17:11,0
2025/05/25,16:00,Inbound Sales - Voice,38,00:00:01.540,100.00%,00:01:41,00:14:01,0
2025/05/25,17:00,Inbound Sales - Voice,30,00:00:03.874,100.00%,00:01:26,00:16:19,0
2025/05/25,18:00,Inbound Sales - Voice,32,00:00:23.521,93.55%,00:01:14,00:13:10,1
2025/05/25,19:00,Inbound Sales - Voice,42,00:00:50.615,73.68%,00:00:52,00:12:00,2
2025/05/25,20:00,Inbound Sales - Voice,48,00:02:54.975,51.35%,00:02:05,00:16:51,5
2025/05/25,21:00,Inbound Sales - Voice,19,00:01:32.163,64.71%,00:01:51,00:13:32,1
2025/05/25,22:00,Inbound Sales - Voice,14,00:00:01.511,100.00%,00:01:25,00:13:55,0
2025/05/25,23:00,Inbound Sales - Voice,19,00:00:13.638,94.74%,00:01:04,00:10:37,0
