DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/03/27,07:00,Inbound Sales - Voice,3,00:01:27.946,33.33%,00:01:14,00:05:53,1
2025/03/27,08:00,Inbound Sales - Voice,9,00:01:09.544,42.86%,00:01:43,00:08:05,0
2025/03/27,09:00,Inbound Sales - Voice,2,00:00:01.405,100.00%,00:03:44,00:14:22,0
2025/03/27,10:00,Inbound Sales - Voice,9,00:00:27.688,55.56%,00:02:08,00:12:07,0
2025/03/27,11:00,Inbound Sales - Voice,25,00:02:21.304,50.00%,00:03:26,00:14:23,2
2025/03/27,12:00,Inbound Sales - Voice,21,00:02:01.894,29.41%,00:02:00,00:15:58,3
2025/03/27,13:00,Inbound Sales - Voice,24,00:03:03.667,0.00%,00:02:02,00:13:06,3
2025/03/27,14:00,Inbound Sales - Voice,42,00:12:00.276,13.79%,00:02:12,00:08:55,8
2025/03/27,15:00,Inbound Sales - Voice,29,00:06:47.066,0.00%,00:01:44,00:12:04,0
2025/03/27,16:00,Inbound Sales - Voice,16,00:00:32.924,50.00%,00:00:59,00:10:41,3
2025/03/27,17:00,Inbound Sales - Voice,17,00:00:03.209,94.12%,00:01:15,00:11:47,0
2025/03/27,18:00,Inbound Sales - Voice,12,00:00:09.798,83.33%,00:00:51,00:12:32,0
2025/03/27,19:00,Inbound Sales - Voice,13,00:01:06.153,72.73%,00:01:26,00:13:25,0
2025/03/27,20:00,Inbound Sales - Voice,13,00:04:14.696,44.44%,00:03:09,00:11:19,0
2025/03/27,21:00,Inbound Sales - Voice,15,00:02:50.721,50.00%,00:01:44,00:09:51,0
2025/03/27,22:00,Inbound Sales - Voice,6,00:00:04.844,100.00%,00:03:56,00:11:02,0
2025/03/27,23:00,Inbound Sales - Voice,7,00:00:34.023,71.43%,00:02:33,00:15:43,0
