DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/06/01,00:00,Inbound Sales - Voice,1,00:00:01.644,100.00%,00:00:16,00:51:48,0
2025/06/01,01:00,Inbound Sales - Voice,1,00:00:08.109,100.00%,00:00:45,00:17:44,0
2025/06/01,02:00,Inbound Sales - Voice,1,00:00:01.664,100.00%,00:01:17,00:25:34,0
2025/06/01,03:00,Inbound Sales - Voice,1,00:00:01.483,100.00%,00:01:03,00:03:27,0
2025/06/01,06:00,Inbound Sales - Voice,2,00:01:01.412,100.00%,00:02:03,00:29:32,0
2025/06/01,07:00,Inbound Sales - Voice,1,00:00:01.480,100.00%,00:02:57,00:33:02,0
2025/06/01,08:00,Inbound Sales - Voice,7,00:00:42.291,83.33%,00:01:50,00:09:13,0
2025/06/01,09:00,Inbound Sales - Voice,10,00:03:54.113,50.00%,00:01:53,00:11:19,1
2025/06/01,10:00,Inbound Sales - Voice,17,00:05:01.745,50.00%,00:01:15,00:15:48,5
2025/06/01,11:00,Inbound Sales - Voice,33,00:04:42.976,36.36%,00:01:39,00:09:13,6
2025/06/01,12:00,Inbound Sales - Voice,25,00:00:47.206,71.43%,00:01:11,00:07:51,2
2025/06/01,13:00,Inbound Sales - Voice,53,00:09:45.489,18.92%,00:01:32,00:11:45,12
2025/06/01,14:00,Inbound Sales - Voice,46,00:19:42.193,33.33%,00:01:32,00:10:46,11
2025/06/01,15:00,Inbound Sales - Voice,56,00:18:16.855,24.24%,00:01:45,00:12:18,8
2025/06/01,16:00,Inbound Sales - Voice,32,00:05:44.609,31.58%,00:01:58,00:13:17,4
2025/06/01,17:00,Inbound Sales - Voice,29,00:01:49.949,70.83%,00:02:40,00:17:58,2
2025/06/01,18:00,Inbound Sales - Voice,20,00:02:21.191,43.75%,00:01:59,00:14:43,3
2025/06/01,19:00,Inbound Sales - Voice,46,00:05:28.546,36.67%,00:01:45,00:13:17,4
2025/06/01,20:00,Inbound Sales - Voice,12,00:02:20.578,55.56%,00:01:36,00:14:14,0
2025/06/01,21:00,Inbound Sales - Voice,17,00:01:01.955,75.00%,00:01:42,00:11:26,0
2025/06/01,22:00,Inbound Sales - Voice,11,00:00:10.504,90.91%,00:01:17,00:15:35,0
2025/06/01,23:00,Inbound Sales - Voice,4,00:00:38.384,100.00%,00:01:04,00:16:09,0
