DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/04/09,00:00,Inbound Sales - Voice,7,00:00:16.090,83.33%,00:02:54,00:12:47,0
2025/04/09,01:00,Inbound Sales - Voice,2,00:00:01.548,100.00%,00:00:44,00:09:55,0
2025/04/09,04:00,Inbound Sales - Voice,1,00:00:01.520,100.00%,00:01:29,00:25:25,0
2025/04/09,06:00,Inbound Sales - Voice,1,00:00:01.471,100.00%,00:00:14,00:31:58,0
2025/04/09,07:00,Inbound Sales - Voice,2,00:00:02.227,100.00%,00:01:04,00:08:53,0
2025/04/09,08:00,Inbound Sales - Voice,5,00:00:01.526,100.00%,00:02:00,00:14:21,0
2025/04/09,09:00,Inbound Sales - Voice,5,00:00:01.536,100.00%,00:01:21,00:32:01,0
2025/04/09,10:00,Inbound Sales - Voice,18,00:00:17.732,77.78%,00:01:21,00:13:52,0
2025/04/09,11:00,Inbound Sales - Voice,26,00:00:38.524,60.00%,00:01:30,00:10:15,2
2025/04/09,12:00,Inbound Sales - Voice,32,00:01:25.033,29.63%,00:01:34,00:10:56,3
2025/04/09,13:00,Inbound Sales - Voice,21,00:02:27.751,57.89%,00:01:49,00:12:21,0
2025/04/09,14:00,Inbound Sales - Voice,21,00:00:54.023,65.00%,00:01:34,00:11:13,3
2025/04/09,15:00,Inbound Sales - Voice,20,00:00:27.066,72.22%,00:01:49,00:10:35,0
2025/04/09,16:00,Inbound Sales - Voice,16,00:00:03.477,100.00%,00:01:44,00:09:10,0
2025/04/09,17:00,Inbound Sales - Voice,23,00:00:01.565,100.00%,00:01:18,00:12:35,0
2025/04/09,18:00,Inbound Sales - Voice,19,00:00:22.558,73.68%,00:01:24,00:11:57,0
2025/04/09,19:00,Inbound Sales - Voice,23,00:00:40.562,61.90%,00:01:28,00:10:23,0
2025/04/09,20:00,Inbound Sales - Voice,36,00:09:49.675,0.00%,00:02:05,00:22:16,7
2025/04/09,21:00,Inbound Sales - Voice,13,00:01:41.999,33.33%,00:01:11,00:17:05,3
2025/04/09,22:00,Inbound Sales - Voice,5,00:04:37.584,50.00%,00:00:22,00:08:09,1
2025/04/09,23:00,Inbound Sales - Voice,5,00:01:42.158,40.00%,00:03:20,00:23:45,1
