DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/01/30,09:00,Inbound Sales - Voice,6,00:00:01.741,100.00%,00:01:11,00:05:13,0
2025/01/30,10:00,Inbound Sales - Voice,14,00:00:01.568,100.00%,00:01:43,00:13:23,0
2025/01/30,11:00,Inbound Sales - Voice,15,00:00:01.485,100.00%,00:01:11,00:14:01,0
2025/01/30,12:00,Inbound Sales - Voice,18,00:00:01.598,100.00%,00:01:06,00:08:45,0
2025/01/30,13:00,Inbound Sales - Voice,17,00:00:01.567,100.00%,00:01:55,00:13:33,0
2025/01/30,14:00,Inbound Sales - Voice,24,00:00:01.560,100.00%,00:01:56,00:14:43,0
2025/01/30,15:00,Inbound Sales - Voice,18,00:00:01.512,100.00%,00:02:04,00:12:49,0
2025/01/30,16:00,Inbound Sales - Voice,18,00:00:01.493,100.00%,00:01:53,00:09:17,0
2025/01/30,17:00,Inbound Sales - Voice,19,00:00:01.683,100.00%,00:02:03,00:18:01,0
2025/01/30,18:00,Inbound Sales - Voice,10,00:00:01.674,100.00%,00:01:22,00:09:35,0
2025/01/30,19:00,Inbound Sales - Voice,13,00:00:01.626,100.00%,00:01:52,00:12:05,0
2025/01/30,20:00,Inbound Sales - Voice,17,00:00:26.935,87.50%,00:02:24,00:11:36,1
2025/01/30,21:00,Inbound Sales - Voice,5,00:00:01.516,100.00%,00:02:46,00:20:49,0
2025/01/30,22:00,Inbound Sales - Voice,9,00:04:41.814,37.50%,00:03:47,00:20:43,0
2025/01/30,23:00,Inbound Sales - Voice,2,00:00:01.464,100.00%,00:02:47,00:27:35,0
