DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/07/01,00:00,Inbound Sales - Voice,1,00:15:57.457,0.00%,00:01:44,00:07:31,0
2025/07/01,01:00,Inbound Sales - Voice,3,00:00:01.538,100.00%,00:02:04,00:05:28,0
2025/07/01,03:00,Inbound Sales - Voice,1,00:00:01.512,100.00%,00:00:37,00:15:54,0
2025/07/01,06:00,Inbound Sales - Voice,1,00:00:01.501,100.00%,00:00:08,00:26:13,0
2025/07/01,07:00,Inbound Sales - Voice,5,00:00:11.862,100.00%,00:01:24,00:17:52,0
2025/07/01,08:00,Inbound Sales - Voice,3,00:00:01.556,100.00%,00:00:59,00:13:09,0
2025/07/01,09:00,Inbound Sales - Voice,19,00:00:11.603,94.74%,00:00:55,00:10:18,0
2025/07/01,10:00,Inbound Sales - Voice,10,00:00:06.516,100.00%,00:01:00,00:13:52,0
2025/07/01,11:00,Inbound Sales - Voice,26,00:00:44.967,75.00%,00:01:09,00:12:38,2
2025/07/01,12:00,Inbound Sales - Voice,26,00:00:35.250,95.65%,00:01:28,00:10:54,0
2025/07/01,13:00,Inbound Sales - Voice,31,00:00:30.404,89.29%,00:01:19,00:12:09,0
2025/07/01,14:00,Inbound Sales - Voice,34,00:01:41.744,44.83%,00:01:24,00:19:10,4
2025/07/01,15:00,Inbound Sales - Voice,34,00:01:54.645,70.37%,00:01:33,00:14:05,2
2025/07/01,16:00,Inbound Sales - Voice,21,00:00:13.540,100.00%,00:01:21,00:12:04,0
2025/07/01,17:00,Inbound Sales - Voice,32,00:00:39.183,86.67%,00:01:40,00:10:53,1
2025/07/01,18:00,Inbound Sales - Voice,21,00:01:20.820,88.24%,00:01:15,00:12:08,1
2025/07/01,19:00,Inbound Sales - Voice,40,00:02:42.737,60.00%,00:01:22,00:16:33,1
2025/07/01,20:00,Inbound Sales - Voice,27,00:05:03.641,50.00%,00:01:17,00:17:51,3
2025/07/01,21:00,Inbound Sales - Voice,10,00:00:57.806,66.67%,00:01:58,00:16:12,0
2025/07/01,22:00,Inbound Sales - Voice,13,00:03:04.350,50.00%,00:01:33,00:19:38,0
2025/07/01,23:00,Inbound Sales - Voice,4,00:00:01.919,100.00%,00:01:11,00:14:49,0
